id,firstname,surname,born,died,bornCountry,bornCountryCode,gender,prize_years,prize_categories,prize_motivation,ISO-ALPHA-3,latitude,longitude,officialCountryName
1,Wilhelm Conrad,Röntgen,1845,1923,Prussia (now Germany),DE,male,1901,physics,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",DDR,52.05,12.39,German Democratic Republic
2,Hendrik A.,Lorentz,1853,1928,the Netherlands,NL,male,1902,physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",NLD,52.32,5.55,Netherlands
3,Pieter,Zeeman,1865,1943,the Netherlands,NL,male,1902,physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",NLD,52.32,5.55,Netherlands
4,Henri,Becquerel,1852,1908,France,FR,male,1903,physics,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",FRA,47.0,2.0,France
5,Pierre,Curie,1859,1906,France,FR,male,1903,physics,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",FRA,47.0,2.0,France
6,Marie,Curie,1867,1934,Russian Empire (now Poland),PL,female,"1903, 1911","physics, chemistry","""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel"", ""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium, by the isolation of radium and the study of the nature and compounds of this remarkable element""",POL,52.0,19.0,Poland
8,Lord,Rayleigh,1842,1919,United Kingdom,GB,male,1904,physics,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",GBR,54.6,-2.0,United Kingdom
9,Philipp,Lenard,1862,1947,Hungary (now Slovakia),SK,male,1905,physics,"""for his work on cathode rays""",SVK,49.0,20.0,Slovakia
10,J.J.,Thomson,1856,1940,United Kingdom,GB,male,1906,physics,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",GBR,54.6,-2.0,United Kingdom
11,Albert A.,Michelson,1852,1931,Prussia (now Poland),PL,male,1907,physics,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",POL,52.0,19.0,Poland
12,Gabriel,Lippmann,1845,1921,Luxembourg,LU,male,1908,physics,"""for his method of reproducing colours photographically based on the phenomenon of interference""",LUX,49.77,6.13,Luxembourg
13,Guglielmo,Marconi,1874,1937,Italy,IT,male,1909,physics,"""in recognition of their contributions to the development of wireless telegraphy""",ITA,42.5,12.5,Italy
14,Ferdinand,Braun,1850,1918,Hesse-Kassel (now Germany),DE,male,1909,physics,"""in recognition of their contributions to the development of wireless telegraphy""",DDR,52.05,12.39,German Democratic Republic
15,Johannes Diderik,van der Waals,1837,1923,the Netherlands,NL,male,1910,physics,"""for his work on the equation of state for gases and liquids""",NLD,52.32,5.55,Netherlands
16,Wilhelm,Wien,1864,1928,Prussia (now Russia),RU,male,1911,physics,"""for his discoveries regarding the laws governing the radiation of heat""",RUS,66.42,94.25,Russia
17,Gustaf,Dalén,1869,1937,Sweden,SE,male,1912,physics,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",SWE,61.0,15.0,Sweden
18,Heike,Kamerlingh Onnes,1853,1926,the Netherlands,NL,male,1913,physics,"""for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium""",NLD,52.32,5.55,Netherlands
19,Max,von Laue,1879,1960,Germany,DE,male,1914,physics,"""for his discovery of the diffraction of X-rays by crystals""",DDR,52.05,12.39,German Democratic Republic
20,William,Bragg,1862,1942,United Kingdom,GB,male,1915,physics,"""for their services in the analysis of crystal structure by means of X-rays""",GBR,54.6,-2.0,United Kingdom
21,Lawrence,Bragg,1890,1971,Australia,AU,male,1915,physics,"""for their services in the analysis of crystal structure by means of X-rays""",AUS,-28.0,137.0,Australia
22,Charles Glover,Barkla,1877,1944,United Kingdom,GB,male,1917,physics,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",GBR,54.6,-2.0,United Kingdom
23,Max,Planck,1858,1947,Schleswig (now Germany),DE,male,1918,physics,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",DDR,52.05,12.39,German Democratic Republic
24,Johannes,Stark,1874,1957,Germany,DE,male,1919,physics,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",DDR,52.05,12.39,German Democratic Republic
25,Charles Edouard,Guillaume,1861,1938,Switzerland,CH,male,1920,physics,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",CHE,46.8,8.23,Switzerland
26,Albert,Einstein,1879,1955,Germany,DE,male,1921,physics,"""for his services to Theoretical Physics, and especially for his discovery of the law of the photoelectric effect""",DDR,52.05,12.39,German Democratic Republic
27,Niels,Bohr,1885,1962,Denmark,DK,male,1922,physics,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",DNK,56.0,10.0,Denmark
28,Robert A.,Millikan,1868,1953,USA,US,male,1923,physics,"""for his work on the elementary charge of electricity and on the photoelectric effect""",USA,39.83,-98.58,United States of America
29,Manne,Siegbahn,1886,1978,Sweden,SE,male,1924,physics,"""for his discoveries and research in the field of X-ray spectroscopy""",SWE,61.0,15.0,Sweden
